alias_lot_id,wf_id,xcoord,ycoord,val
5AY6CJE,19,0,0,#
5AY6CJE,19,0,1,#
5AY6CJE,19,0,2,#
5AY6CJE,19,0,3,#
5AY6CJE,19,0,4,#
5AY6CJE,19,0,5,#
5AY6CJE,19,0,6,#
5AY6CJE,19,0,7,#
5AY6CJE,19,0,8,#
5AY6CJE,19,0,9,#
5AY6CJE,19,0,10,#
5AY6CJE,19,0,11,#
5AY6CJE,19,0,12,#
5AY6CJE,19,0,13,#
5AY6CJE,19,0,14,#
5AY6CJE,19,0,15,#
5AY6CJE,19,0,16,#
5AY6CJE,19,0,17,#
5AY6CJE,19,0,18,#
5AY6CJE,19,0,19,#
5AY6CJE,19,0,20,#
5AY6CJE,19,0,21,#
5AY6CJE,19,0,22,#
5AY6CJE,19,0,23,#
5AY6CJE,19,0,24,#
5AY6CJE,19,0,25,#
5AY6CJE,19,0,26,#
5AY6CJE,19,0,27,#
5AY6CJE,19,0,28,#
5AY6CJE,19,0,29,#
5AY6CJE,19,0,30,#
5AY6CJE,19,0,31,#
5AY6CJE,19,0,32,#
5AY6CJE,19,0,33,#
5AY6CJE,19,0,34,#
5AY6CJE,19,0,35,#
5AY6CJE,19,0,36,#
5AY6CJE,19,0,37,#
5AY6CJE,19,0,38,#
5AY6CJE,19,0,39,#
5AY6CJE,19,0,40,#
5AY6CJE,19,0,41,#
5AY6CJE,19,0,42,#
5AY6CJE,19,0,43,#
5AY6CJE,19,0,44,#
5AY6CJE,19,0,45,#
5AY6CJE,19,0,46,#
5AY6CJE,19,0,47,#
5AY6CJE,19,0,48,#
5AY6CJE,19,0,49,#
5AY6CJE,19,0,50,#
5AY6CJE,19,0,51,#
5AY6CJE,19,0,52,#
5AY6CJE,19,0,53,#
5AY6CJE,19,0,54,#
5AY6CJE,19,0,55,#
5AY6CJE,19,0,56,#
5AY6CJE,19,0,57,#
5AY6CJE,19,0,58,#
5AY6CJE,19,0,59,#
5AY6CJE,19,0,60,#
5AY6CJE,19,0,61,#
5AY6CJE,19,0,62,#
5AY6CJE,19,0,63,#
5AY6CJE,19,0,64,#
5AY6CJE,19,0,65,#
5AY6CJE,19,0,66,#
5AY6CJE,19,0,67,#
5AY6CJE,19,0,68,#
5AY6CJE,19,0,69,#
5AY6CJE,19,0,70,#
5AY6CJE,19,0,71,#
5AY6CJE,19,0,72,#
5AY6CJE,19,0,73,#
5AY6CJE,19,0,74,#
5AY6CJE,19,0,75,#
5AY6CJE,19,0,76,#
5AY6CJE,19,0,77,#
5AY6CJE,19,0,78,#
5AY6CJE,19,0,79,#
5AY6CJE,19,0,80,#
5AY6CJE,19,0,81,#
5AY6CJE,19,0,82,#
5AY6CJE,19,0,83,#
5AY6CJE,19,0,84,#
5AY6CJE,19,0,85,#
5AY6CJE,19,0,86,#
5AY6CJE,19,0,87,#
5AY6CJE,19,0,88,#
5AY6CJE,19,0,89,#
5AY6CJE,19,0,90,#
5AY6CJE,19,0,91,#
5AY6CJE,19,0,92,#
5AY6CJE,19,0,93,#
5AY6CJE,19,0,94,#
5AY6CJE,19,0,95,#
5AY6CJE,19,0,96,#
5AY6CJE,19,0,97,#
5AY6CJE,19,0,98,#
5AY6CJE,19,0,99,#
5AY6CJE,19,1,0,#
5AY6CJE,19,1,1,#
5AY6CJE,19,1,2,#
5AY6CJE,19,1,3,#
5AY6CJE,19,1,4,#
5AY6CJE,19,1,5,#
5AY6CJE,19,1,6,#
5AY6CJE,19,1,7,#
5AY6CJE,19,1,8,#
5AY6CJE,19,1,9,#
5AY6CJE,19,1,10,#
5AY6CJE,19,1,11,#
5AY6CJE,19,1,12,#
5AY6CJE,19,1,13,#
5AY6CJE,19,1,14,#
5AY6CJE,19,1,15,#
5AY6CJE,19,1,16,#
5AY6CJE,19,1,17,#
5AY6CJE,19,1,18,#
5AY6CJE,19,1,19,#
5AY6CJE,19,1,20,#
5AY6CJE,19,1,21,#
5AY6CJE,19,1,22,#
5AY6CJE,19,1,23,#
5AY6CJE,19,1,24,#
5AY6CJE,19,1,25,#
5AY6CJE,19,1,26,#
5AY6CJE,19,1,27,#
5AY6CJE,19,1,28,#
5AY6CJE,19,1,29,#
5AY6CJE,19,1,30,#
5AY6CJE,19,1,31,#
5AY6CJE,19,1,32,#
5AY6CJE,19,1,33,#
5AY6CJE,19,1,34,#
5AY6CJE,19,1,35,#
5AY6CJE,19,1,36,#
5AY6CJE,19,1,37,#
5AY6CJE,19,1,38,#
5AY6CJE,19,1,39,#
5AY6CJE,19,1,40,#
5AY6CJE,19,1,41,#
5AY6CJE,19,1,42,#
5AY6CJE,19,1,43,#
5AY6CJE,19,1,44,#
5AY6CJE,19,1,45,#
5AY6CJE,19,1,46,#
5AY6CJE,19,1,47,#
5AY6CJE,19,1,48,#
5AY6CJE,19,1,49,#
5AY6CJE,19,1,50,#
5AY6CJE,19,1,51,#
5AY6CJE,19,1,52,#
5AY6CJE,19,1,53,#
5AY6CJE,19,1,54,#
5AY6CJE,19,1,55,#
5AY6CJE,19,1,56,#
5AY6CJE,19,1,57,#
5AY6CJE,19,1,58,#
5AY6CJE,19,1,59,#
5AY6CJE,19,1,60,#
5AY6CJE,19,1,61,#
5AY6CJE,19,1,62,#
5AY6CJE,19,1,63,#
5AY6CJE,19,1,64,#
5AY6CJE,19,1,65,#
5AY6CJE,19,1,66,#
5AY6CJE,19,1,67,#
5AY6CJE,19,1,68,#
5AY6CJE,19,1,69,#
5AY6CJE,19,1,70,#
5AY6CJE,19,1,71,#
5AY6CJE,19,1,72,#
5AY6CJE,19,1,73,#
5AY6CJE,19,1,74,#
5AY6CJE,19,1,75,#
5AY6CJE,19,1,76,#
5AY6CJE,19,1,77,#
5AY6CJE,19,1,78,#
5AY6CJE,19,1,79,#
5AY6CJE,19,1,80,#
5AY6CJE,19,1,81,#
5AY6CJE,19,1,82,#
5AY6CJE,19,1,83,#
5AY6CJE,19,1,84,#
5AY6CJE,19,1,85,#
5AY6CJE,19,1,86,#
5AY6CJE,19,1,87,#
5AY6CJE,19,1,88,#
5AY6CJE,19,1,89,#
5AY6CJE,19,1,90,#
5AY6CJE,19,1,91,#
5AY6CJE,19,1,92,#
5AY6CJE,19,1,93,#
5AY6CJE,19,1,94,#
5AY6CJE,19,1,95,#
5AY6CJE,19,1,96,#
5AY6CJE,19,1,97,#
5AY6CJE,19,1,98,#
5AY6CJE,19,1,99,#
5AY6CJE,19,2,0,#
5AY6CJE,19,2,1,#
5AY6CJE,19,2,2,#
5AY6CJE,19,2,3,#
5AY6CJE,19,2,4,#
5AY6CJE,19,2,5,#
5AY6CJE,19,2,6,#
5AY6CJE,19,2,7,#
5AY6CJE,19,2,8,#
5AY6CJE,19,2,9,#
5AY6CJE,19,2,10,#
5AY6CJE,19,2,11,#
5AY6CJE,19,2,12,#
5AY6CJE,19,2,13,#
5AY6CJE,19,2,14,#
5AY6CJE,19,2,15,#
5AY6CJE,19,2,16,#
5AY6CJE,19,2,17,#
5AY6CJE,19,2,18,#
5AY6CJE,19,2,19,#
5AY6CJE,19,2,20,#
5AY6CJE,19,2,21,#
5AY6CJE,19,2,22,#
5AY6CJE,19,2,23,#
5AY6CJE,19,2,24,#
5AY6CJE,19,2,25,#
5AY6CJE,19,2,26,#
5AY6CJE,19,2,27,#
5AY6CJE,19,2,28,#
5AY6CJE,19,2,29,#
5AY6CJE,19,2,30,#
5AY6CJE,19,2,31,#
5AY6CJE,19,2,32,#
5AY6CJE,19,2,33,#
5AY6CJE,19,2,34,#
5AY6CJE,19,2,35,#
5AY6CJE,19,2,36,#
5AY6CJE,19,2,37,#
5AY6CJE,19,2,38,#
5AY6CJE,19,2,39,#
5AY6CJE,19,2,40,#
5AY6CJE,19,2,42,#
5AY6CJE,19,2,43,#
5AY6CJE,19,2,44,#
5AY6CJE,19,2,45,#
5AY6CJE,19,2,46,#
5AY6CJE,19,2,47,#
5AY6CJE,19,2,48,#
5AY6CJE,19,2,49,#
5AY6CJE,19,2,50,#
5AY6CJE,19,2,51,#
5AY6CJE,19,2,52,#
5AY6CJE,19,2,53,#
5AY6CJE,19,2,54,#
5AY6CJE,19,2,55,#
5AY6CJE,19,2,56,#
5AY6CJE,19,2,57,#
5AY6CJE,19,2,58,#
5AY6CJE,19,2,59,#
5AY6CJE,19,2,60,#
5AY6CJE,19,2,61,#
5AY6CJE,19,2,62,#
5AY6CJE,19,2,63,#
5AY6CJE,19,2,64,#
5AY6CJE,19,2,65,#
5AY6CJE,19,2,67,#
5AY6CJE,19,2,68,#
5AY6CJE,19,2,69,#
5AY6CJE,19,2,70,#
5AY6CJE,19,2,71,#
5AY6CJE,19,2,73,#
5AY6CJE,19,2,74,#
5AY6CJE,19,2,75,#
5AY6CJE,19,2,76,#
5AY6CJE,19,2,77,#
5AY6CJE,19,2,78,#
5AY6CJE,19,2,79,#
5AY6CJE,19,2,80,#
5AY6CJE,19,2,81,#
5AY6CJE,19,2,82,#
5AY6CJE,19,2,83,#
5AY6CJE,19,2,84,#
5AY6CJE,19,2,85,#
5AY6CJE,19,2,86,#
5AY6CJE,19,2,87,#
5AY6CJE,19,2,88,#
5AY6CJE,19,2,89,#
5AY6CJE,19,2,90,#
5AY6CJE,19,2,91,#
5AY6CJE,19,2,92,#
5AY6CJE,19,2,93,#
5AY6CJE,19,2,94,#
5AY6CJE,19,2,95,#
5AY6CJE,19,2,96,#
5AY6CJE,19,2,97,#
5AY6CJE,19,2,98,#
5AY6CJE,19,2,99,#
5AY6CJE,19,3,0,#
5AY6CJE,19,3,1,#
5AY6CJE,19,3,2,#
5AY6CJE,19,3,3,#
5AY6CJE,19,3,4,#
5AY6CJE,19,3,5,#
5AY6CJE,19,3,6,#
5AY6CJE,19,3,7,#
5AY6CJE,19,3,8,#
5AY6CJE,19,3,9,#
5AY6CJE,19,3,10,#
5AY6CJE,19,3,11,#
5AY6CJE,19,3,12,#
5AY6CJE,19,3,13,#
5AY6CJE,19,3,14,#
5AY6CJE,19,3,15,#
5AY6CJE,19,3,16,#
5AY6CJE,19,3,17,#
5AY6CJE,19,3,18,#
5AY6CJE,19,3,19,#
5AY6CJE,19,3,20,#
5AY6CJE,19,3,21,#
5AY6CJE,19,3,22,#
5AY6CJE,19,3,23,#
5AY6CJE,19,3,24,#
5AY6CJE,19,3,25,#
5AY6CJE,19,3,26,#
5AY6CJE,19,3,27,#
5AY6CJE,19,3,28,#
5AY6CJE,19,3,29,#
5AY6CJE,19,3,30,#
5AY6CJE,19,3,31,#
5AY6CJE,19,3,32,#
5AY6CJE,19,3,33,#
5AY6CJE,19,3,34,#
5AY6CJE,19,3,35,#
5AY6CJE,19,3,36,#
5AY6CJE,19,3,37,#
5AY6CJE,19,3,38,#
5AY6CJE,19,3,39,#
5AY6CJE,19,3,42,#
5AY6CJE,19,3,43,#
5AY6CJE,19,3,44,#
5AY6CJE,19,3,45,#
5AY6CJE,19,3,46,#
5AY6CJE,19,3,47,#
5AY6CJE,19,3,48,#
5AY6CJE,19,3,49,#
5AY6CJE,19,3,50,#
5AY6CJE,19,3,51,#
5AY6CJE,19,3,52,#
5AY6CJE,19,3,53,#
5AY6CJE,19,3,54,#
5AY6CJE,19,3,55,#
5AY6CJE,19,3,56,#
5AY6CJE,19,3,57,#
5AY6CJE,19,3,58,#
5AY6CJE,19,3,59,#
5AY6CJE,19,3,60,#
5AY6CJE,19,3,61,#
5AY6CJE,19,3,62,#
5AY6CJE,19,3,63,#
5AY6CJE,19,3,64,#
5AY6CJE,19,3,67,#
5AY6CJE,19,3,68,#
5AY6CJE,19,3,69,#
5AY6CJE,19,3,70,#
5AY6CJE,19,3,74,#
5AY6CJE,19,3,75,#
5AY6CJE,19,3,76,#
5AY6CJE,19,3,77,#
5AY6CJE,19,3,78,#
5AY6CJE,19,3,79,#
5AY6CJE,19,3,80,#
5AY6CJE,19,3,81,#
5AY6CJE,19,3,82,#
5AY6CJE,19,3,83,#
5AY6CJE,19,3,84,#
5AY6CJE,19,3,85,#
5AY6CJE,19,3,86,#
5AY6CJE,19,3,87,#
5AY6CJE,19,3,88,#
5AY6CJE,19,3,89,#
5AY6CJE,19,3,90,#
5AY6CJE,19,3,91,#
5AY6CJE,19,3,92,#
5AY6CJE,19,3,93,#
5AY6CJE,19,3,94,#
5AY6CJE,19,3,95,#
